video_id,comment_text,likes,replies,comment_published_at,clean_comment,sentiment_score,sentiment_label,disengagement_keyword_flag
vF6zX_NGYts,सैमसंग a57 5G कब लॉन्च हो रहा है,0,0,2026-03-22T15:26:12Z,a57 5g,0.0,neutral,0
vF6zX_NGYts,Samsung A57 5G,0,0,2026-03-22T15:25:37Z,samsung a57 5g,0.0,neutral,0
vF6zX_NGYts,7:24 thank me later,1,0,2026-03-22T15:23:54Z,7 24 thank me later,0.0,neutral,0
vF6zX_NGYts,Bjp agent na na na na 😅😅,0,0,2026-03-22T15:14:59Z,bjp agent na na na na,0.0,neutral,0
vF6zX_NGYts,"#bologuruji running brand or business secretary vs making hype or revealing it on social media for better sales. Why you choosed privacy in business, is their any problem announcing it publicly?🤍",1,0,2026-03-22T15:14:34Z,bologuruji running brand or business secretary vs making hype or revealing it on social media for better sales why you choosed privacy in business is their any problem announcing it publicly,0.0,neutral,0
vF6zX_NGYts,#bologuruji how you balanced between mehnat and fun(like watching dhurendar2 2 times). is their any formula to calculate how much fun & how much hardwork is required?,0,0,2026-03-22T15:11:35Z,bologuruji how you balanced between mehnat and fun like watching dhurendar2 2 times is their any formula to calculate how much fun how much hardwork is required,0.5,positive,0
vF6zX_NGYts,kya hi farak padta hai bhai pr paisa hi paisa.. 8:55,0,0,2026-03-22T15:07:59Z,kya hi farak padta hai bhai pr paisa hi paisa 8 55,0.0,neutral,1
vF6zX_NGYts,Middle East ma movie ban ha 😂,1,0,2026-03-22T15:07:33Z,middle east ma movie ban ha,0.0,neutral,0
vF6zX_NGYts,#lodu_guruji,0,0,2026-03-22T15:06:40Z,lodu guruji,0.0,neutral,0
vF6zX_NGYts,"#bologuruji
लगता है गौरव भाई audience अब अपने सवाल ChatGPT से ही पूछ लेती होगी, STM में user engagment अब काफी कम हो गया है over the last few years. What's your opinion on this?",0,0,2026-03-22T15:04:02Z,bologuruji audience chatgpt stm user engagment over the last few years what s your opinion on this,0.0,neutral,0
vF6zX_NGYts,5G Pakistan ma launch ho gaya ha os per b video bna o 🎉 #bologuruji,1,0,2026-03-22T15:01:03Z,5g pakistan ma launch ho gaya ha os per b video bna o bologuruji,0.0,neutral,0
vF6zX_NGYts,"#bologuruji sir! mai  content creator hu , mujhe mac book neo lena chahiye ya koi or apple device?? Mai i phone 17 par Vdo shoot karti hu ! Bahut confused hu kya karu! Neo kasa rahega?? VN, cap cut , inshot par editing karne k liye! Plz plz plz reply sir!",0,0,2026-03-22T14:59:49Z,bologuruji sir mai content creator hu mujhe mac book neo lena chahiye ya koi or apple device mai i phone 17 par vdo shoot karti hu bahut confused hu kya karu neo kasa rahega vn cap cut inshot par editing karne k liye plz plz plz reply sir,0.0,neutral,0
vF6zX_NGYts,"#bologuruji sir! mai  content creator hu , mujhe mac book neo lena chahiye ya koi or apple device?? Mai i phone 17 par Vdo shoot karti hu ! Bahut confused hu kya karu! Neo kasa rahega?? VN, cap cut , inshot par editing karne k liye! Plz plz plz reply sir!",0,0,2026-03-22T14:59:38Z,bologuruji sir mai content creator hu mujhe mac book neo lena chahiye ya koi or apple device mai i phone 17 par vdo shoot karti hu bahut confused hu kya karu neo kasa rahega vn cap cut inshot par editing karne k liye plz plz plz reply sir,0.0,neutral,0
vF6zX_NGYts,"#bologuruji sir! mai  content creator hu , mujhe mac book neo lena chahiye ya koi or apple device?? Mai i phone 17 par Vdo shoot karti hu ! Bahut confused hu kya karu! Neo kasa rahega?? VN, cap cut , inshot par editing karne k liye! Plz plz plz reply sir!",0,0,2026-03-22T14:59:30Z,bologuruji sir mai content creator hu mujhe mac book neo lena chahiye ya koi or apple device mai i phone 17 par vdo shoot karti hu bahut confused hu kya karu neo kasa rahega vn cap cut inshot par editing karne k liye plz plz plz reply sir,0.0,neutral,0
vF6zX_NGYts,"#bologuruji sir! mai  content creator hu , mujhe mac book neo lena chahiye ya koi or apple device?? Mai i phone 17 par Vdo shoot karti hu ! Bahut confused hu kya karu! Neo kasa rahega?? VN, cap cut , inshot par editing karne k liye! Plz plz plz reply sir!",0,0,2026-03-22T14:59:22Z,bologuruji sir mai content creator hu mujhe mac book neo lena chahiye ya koi or apple device mai i phone 17 par vdo shoot karti hu bahut confused hu kya karu neo kasa rahega vn cap cut inshot par editing karne k liye plz plz plz reply sir,0.0,neutral,0
vF6zX_NGYts,"#bologuruji sir! mai  content creator hu , mujhe mac book neo lena chahiye ya koi or apple device?? Mai i phone 17 par Vdo shoot karti hu ! Bahut confused hu kya karu! Neo kasa rahega?? VN, cap cut , inshot par editing karne k liye! Plz plz plz reply sir!",0,0,2026-03-22T14:59:14Z,bologuruji sir mai content creator hu mujhe mac book neo lena chahiye ya koi or apple device mai i phone 17 par vdo shoot karti hu bahut confused hu kya karu neo kasa rahega vn cap cut inshot par editing karne k liye plz plz plz reply sir,0.0,neutral,0
vF6zX_NGYts,"#bologuruji sir! mai  content creator hu , mujhe mac book neo lena chahiye ya koi or apple device?? Mai i phone 17 par Vdo shoot karti hu ! Bahut confused hu kya karu! Neo kasa rahega?? VN, cap cut , inshot par editing karne k liye! Plz plz plz reply sir!",0,2,2026-03-22T14:59:05Z,bologuruji sir mai content creator hu mujhe mac book neo lena chahiye ya koi or apple device mai i phone 17 par vdo shoot karti hu bahut confused hu kya karu neo kasa rahega vn cap cut inshot par editing karne k liye plz plz plz reply sir,0.0,neutral,0
vF6zX_NGYts,"#bologuruji sir! mai  content creator hu , mujhe mac book neo lena chahiye ya koi or apple device?? Mai i phone 17 par Vdo shoot karti hu ! Bahut confused hu kya karu! Neo kasa rahega?? VN, cap cut , inshot par editing karne k liye! Plz plz plz reply sir!",0,0,2026-03-22T14:58:58Z,bologuruji sir mai content creator hu mujhe mac book neo lena chahiye ya koi or apple device mai i phone 17 par vdo shoot karti hu bahut confused hu kya karu neo kasa rahega vn cap cut inshot par editing karne k liye plz plz plz reply sir,0.0,neutral,0
vF6zX_NGYts,"#bologuruji sir! mai  content creator hu , mujhe mac book neo lena chahiye ya koi or apple device?? Mai i phone 17 par Vdo shoot karti hu ! Bahut confused hu kya karu! Neo kasa rahega?? VN, cap cut , inshot par editing karne k liye! Plz plz plz reply sir!",0,0,2026-03-22T14:58:49Z,bologuruji sir mai content creator hu mujhe mac book neo lena chahiye ya koi or apple device mai i phone 17 par vdo shoot karti hu bahut confused hu kya karu neo kasa rahega vn cap cut inshot par editing karne k liye plz plz plz reply sir,0.0,neutral,0
vF6zX_NGYts,#bologuruji mujhe vivo x300 pro lena hai mere pass kuch rupee hai or nhii saveing kr rpaa rha hun please help kr dijiye thoda #boliyeguruji,0,0,2026-03-22T14:53:29Z,bologuruji mujhe vivo x300 pro lena hai mere pass kuch rupee hai or nhii saveing kr rpaa rha hun please help kr dijiye thoda boliyeguruji,0.0,neutral,0
vF6zX_NGYts,Dhurandhar ❤,1,0,2026-03-22T14:51:50Z,dhurandhar,0.0,neutral,0
vF6zX_NGYts,Pls sir ye batayen ki oppo f31 pro plus kaisa camera phone h,0,0,2026-03-22T14:50:48Z,pls sir ye batayen ki oppo f31 pro plus kaisa camera phone h,0.0,neutral,0
vF6zX_NGYts,4:40,0,0,2026-03-22T14:50:26Z,4 40,0.0,neutral,0
vF6zX_NGYts,"main toh apka big fan hu sir 
but kya kare Nhi toh gift Iphone mila aaj mujhe rs 1000 Vajdo phone pay me sir",2,0,2026-03-22T14:50:12Z,main toh apka big fan hu sir but kya kare nhi toh gift iphone mila aaj mujhe rs 1000 vajdo phone pay me sir,0.0,neutral,0
vF6zX_NGYts,Itne saal bad Aya notification aapka video ka....❤,1,0,2026-03-22T14:49:00Z,itne saal bad aya notification aapka video ka,-0.5,negative,1
vF6zX_NGYts,Thank you so much sir I alays like your video love you ❤❤❤,1,0,2026-03-22T14:48:34Z,thank you so much sir i alays like your video love you,0.5,positive,0
vF6zX_NGYts,"Namaskar Guruji, Galaxy Buds 3PRO Rs. 12000, can I purchase?",0,1,2026-03-22T14:48:19Z,namaskar guruji galaxy buds 3pro rs 12000 can i purchase,0.0,neutral,0
vF6zX_NGYts,Awesome 😎😎,0,0,2026-03-22T14:47:58Z,awesome,0.5,positive,0
vF6zX_NGYts,Bhakt hai ye bhi,0,0,2026-03-22T14:47:07Z,bhakt hai ye bhi,0.0,neutral,0
vF6zX_NGYts,NYC 🎉❤,0,0,2026-03-22T14:46:08Z,nyc,0.0,neutral,0
vF6zX_NGYts,Movie aisi bano ki tech wale log bhi review kare,3,0,2026-03-22T14:45:35Z,movie aisi bano ki tech wale log bhi review kare,0.0,neutral,0
vF6zX_NGYts,#bologuruji snapdragon x2 wale laptop kab India me aayenge,0,0,2026-03-22T14:45:00Z,bologuruji snapdragon x2 wale laptop kab india me aayenge,0.0,neutral,0
vF6zX_NGYts,Guruji during sex chliya suru krte h😂😂,0,0,2026-03-22T14:41:30Z,guruji during sex chliya suru krte h,0.0,neutral,0
vF6zX_NGYts,😊 bhai me aapki sab video dekhta hu aur kayui salo se subscribe kiya hai aap ek iphone give avay karddo pls7,0,0,2026-03-22T14:40:49Z,bhai me aapki sab video dekhta hu aur kayui salo se subscribe kiya hai aap ek iphone give avay karddo pls7,0.0,neutral,0
vF6zX_NGYts,This like for dhurandhar 2 review 👍👍👍👍,6,0,2026-03-22T14:38:47Z,this like for dhurandhar 2 review,0.0,neutral,0
vF6zX_NGYts,"Technical guruji ✅
Filmy guruji ✅",0,0,2026-03-22T14:38:40Z,technical guruji filmy guruji,0.0,neutral,0
vF6zX_NGYts,"#bologuruji hello Gaurav guruji bro main truck lover & bus lover fan hun mujhe bade heavy commercial vehicles trucks & buses se pyar hai mujhe truck aur bus mein bahut jyada interest hai main trucks or buses ke bare mein nai nai jankariyan leta rehta hun, mere ko truck aur bus ki photo video lena aur inke sath photo khinchvana bahut achcha lagta hai main WhatsApp per bhi bus or truck ke status dalta hun main apne YouTube channel per trucks & buses ki videos ka content banata hun, mujhe bus mein journey karna bahut pasand hai bahut achcha lagta hai bus mein super luxury feel aata hai bus mein safar karne ka bhi apna hi alag maja hai, hamare Himachal ki pahadon ki rani pahadon ki shaan hamari lifeline HRTC govt. buses & pvt. buses hai bus ke staff driver conductor apne ghar parivar se dur rehkar din raat mehnat karke khatarnak sadkon per bus chala ke paise kama rahe hai aur ham जनता logon ko apni सेवाएं de rahe hai (respect all drivers & conductors)👑😎 I❤️bus I always travel with buses🔥🔥🔥🥰😍🤩🧡🤍💚",1,0,2026-03-22T14:38:23Z,bologuruji hello gaurav guruji bro main truck lover bus lover fan hun mujhe bade heavy commercial vehicles trucks buses se pyar hai mujhe truck aur bus mein bahut jyada interest hai main trucks or buses ke bare mein nai nai jankariyan leta rehta hun mere ko truck aur bus ki photo video lena aur inke sath photo khinchvana bahut achcha lagta hai main whatsapp per bhi bus or truck ke status dalta hun main apne youtube channel per trucks buses ki videos ka content banata hun mujhe bus mein journey karna bahut pasand hai bahut achcha lagta hai bus mein super luxury feel aata hai bus mein safar karne ka bhi apna hi alag maja hai hamare himachal ki pahadon ki rani pahadon ki shaan hamari lifeline hrtc govt buses pvt buses hai bus ke staff driver conductor apne ghar parivar se dur rehkar din raat mehnat karke khatarnak sadkon per bus chala ke paise kama rahe hai aur ham logon ko apni de rahe hai respect all drivers conductors i bus i always travel with buses,0.0,neutral,1
vF6zX_NGYts,8:17  bjp  ajent 😂,1,2,2026-03-22T14:37:43Z,8 17 bjp ajent,0.0,neutral,0
vF6zX_NGYts,Mzaa aa gya,0,0,2026-03-22T14:36:42Z,mzaa aa gya,0.0,neutral,0
vF6zX_NGYts,Dhurandhar 2 Me I am ready ready 🤫,1,0,2026-03-22T14:36:34Z,dhurandhar 2 me i am ready ready,0.0,neutral,1
vF6zX_NGYts,AB LOG PROPAGANDA BOLENGE😂,1,1,2026-03-22T14:36:31Z,ab log propaganda bolenge,0.0,neutral,0
vF6zX_NGYts,Nearly 7 saal baad notification aaya ur 7 saal baad hi ye channel ka video dekhra hu,2,0,2026-03-22T14:36:24Z,nearly 7 saal baad notification aaya ur 7 saal baad hi ye channel ka video dekhra hu,0.0,neutral,1
vF6zX_NGYts,give  me free iphone 17 pro max plz bhai,0,0,2026-03-22T14:36:17Z,give me free iphone 17 pro max plz bhai,0.0,neutral,0
vF6zX_NGYts,Galat line me aa gaye 😅😅,0,0,2026-03-22T14:36:17Z,galat line me aa gaye,0.0,neutral,0
vF6zX_NGYts,15 comment,0,0,2026-03-22T14:36:09Z,15 comment,0.0,neutral,0
vF6zX_NGYts,Why the video quality is too low in 4k .. camera issue,0,0,2026-03-22T14:36:00Z,why the video quality is too low in 4k camera issue,0.0,neutral,0
vF6zX_NGYts,Kitna faltu tym h apke pass,0,0,2026-03-22T14:35:52Z,kitna faltu tym h apke pass,0.0,neutral,0
vF6zX_NGYts,Bjp ki documentary 😂,1,0,2026-03-22T14:35:40Z,bjp ki documentary,0.0,neutral,0
vF6zX_NGYts,Dhurandhar title mein dekh ke aa gaya,2,0,2026-03-22T14:35:37Z,dhurandhar title mein dekh ke aa gaya,0.0,neutral,0
wWRNobND7Yo,Jaldi se LIKE aur SHARE kardo #TGFamily!!!,34,9,2026-03-21T12:32:33Z,jaldi se like aur share kardo tgfamily,0.0,neutral,0
wWRNobND7Yo,"""Sir, main ek chote se gaon se hoon aur filhal apni 12th ki padhai ke saath-saath mehnat kar raha hoon taaki apne pairon par khada ho sakun. Mere paas bada phone lene ke paise toh nahi hain, par bade sapne zaroor hain. Agar ye mil jata hai toh meri padhai aur kaam mein bahut badi madad ho jayegi. Aapka kaam dekh kar hamesha himmat milti hai. #tecnical guruji",0,0,2026-03-22T14:26:35Z,sir main ek chote se gaon se hoon aur filhal apni 12th ki padhai ke saath saath mehnat kar raha hoon taaki apne pairon par khada ho sakun mere paas bada phone lene ke paise toh nahi hain par bade sapne zaroor hain agar ye mil jata hai toh meri padhai aur kaam mein bahut badi madad ho jayegi aapka kaam dekh kar hamesha himmat milti hai tecnical guruji,-0.5,negative,1
wWRNobND7Yo,C2 ka haircut rate kro 🙂,0,0,2026-03-22T14:11:31Z,c2 ka haircut rate kro,0.0,neutral,0
wWRNobND7Yo,Me to oneplus nord 6 ke liye excited hu bro or mujhe lag raha hai oneplus nord 4 ka metal body la sakta hai nord 6 me ❤😍 kyuki unhone pucha hai x per ki aapko nord 4 ka design kaisa lagta hai to iska matlab ye hi hua ki wo metal body phirse lane ki souch rahe hai or agar jyada user's ne bola ha pasand hai to nord 6 me metal body asakti hai ❤😊 maine to boldiya ❤ guys tum bhi boldo 🙏,1,0,2026-03-22T11:29:35Z,me to oneplus nord 6 ke liye excited hu bro or mujhe lag raha hai oneplus nord 4 ka metal body la sakta hai nord 6 me kyuki unhone pucha hai x per ki aapko nord 4 ka design kaisa lagta hai to iska matlab ye hi hua ki wo metal body phirse lane ki souch rahe hai or agar jyada user s ne bola ha pasand hai to nord 6 me metal body asakti hai maine to boldiya guys tum bhi boldo,0.0,neutral,1
wWRNobND7Yo,Super videos 🎉❤❤🎉🎉,1,0,2026-03-22T09:38:52Z,super videos,0.0,neutral,0
wWRNobND7Yo,Audio is poor 👎👎👎,1,0,2026-03-22T08:47:21Z,audio is poor,0.0,neutral,0
wWRNobND7Yo,S A R  NOT  E N G  PLESS  HINDI,1,0,2026-03-22T08:00:40Z,s a r not e n g pless hindi,0.0,neutral,0
wWRNobND7Yo,"CAN YOU MAKE A FULL VIDEO TO SHOW TO YOUR YOUTUBE FAMILY MEMBERS / FANS HOW THEY CAN ALSO GET PHONES AND OTHER TECH STUFF WHICH ARE NOT AVAILABLE IN INDIA AND WHICH WON'T BE COMING IN INDIA.

ALSO CAN YOU TELL YOUR YOUTUBE FAMILY MEMBERS / FANS THE PROS. AND CONS. OF PURCHASING STUFF FROM OTHER CONTRIES.

ALSO CAN YOU PLEASE TELL US HOW MUCH DOES IT COSTS (APPROXIMATELY) FOR DELIVERY / DELIVERY CHARGES.",0,0,2026-03-22T07:32:01Z,can you make a full video to show to your youtube family members fans how they can also get phones and other tech stuff which are not available in india and which won t be coming in india also can you tell your youtube family members fans the pros and cons of purchasing stuff from other contries also can you please tell us how much does it costs approximately for delivery delivery charges,0.0,neutral,0
wWRNobND7Yo,kounse jungle ke resort mai baithe ho guruji...😂,0,0,2026-03-22T06:14:34Z,kounse jungle ke resort mai baithe ho guruji,0.0,neutral,0
wWRNobND7Yo,#Bologuruji #BOLOGURUJI #bologuruji I want to meet you bhai plssss it's very important pls 🙏,1,1,2026-03-22T04:08:03Z,bologuruji bologuruji bologuruji i want to meet you bhai plssss it s very important pls,0.0,neutral,0
wWRNobND7Yo,29 march 2026  Samsung a57 & a37  Lunch hone wale hai,0,1,2026-03-22T03:39:37Z,29 march 2026 samsung a57 a37 lunch hone wale hai,0.0,neutral,0
wWRNobND7Yo,Informative video,1,1,2026-03-22T03:34:33Z,informative video,0.0,neutral,0
wWRNobND7Yo,Jai Shree Krishna.,0,0,2026-03-22T03:25:21Z,jai shree krishna,0.0,neutral,0
wWRNobND7Yo,Md Siraj 😂😂,0,0,2026-03-21T17:03:00Z,md siraj,0.0,neutral,0
wWRNobND7Yo,Realme neo 8 kab tak ayega ?,0,0,2026-03-21T16:31:02Z,realme neo 8 kab tak ayega,0.0,neutral,0
wWRNobND7Yo,Plus key गायब है nord 6,0,0,2026-03-21T16:24:52Z,plus key nord 6,0.0,neutral,0
wWRNobND7Yo,Bhai CMF 3 ki koi news?,0,0,2026-03-21T16:15:14Z,bhai cmf 3 ki koi news,0.0,neutral,0
wWRNobND7Yo,"OnePlus Nord 6, Xiaomi 18 Pro, Starlink",0,0,2026-03-21T15:59:03Z,oneplus nord 6 xiaomi 18 pro starlink,0.0,neutral,0
